filename,cluster_label
D003_c_0004776_patch_2_1.png,1
D003_c_0004777_patch_2_1.png,3
D003_c_0004778_patch_2_2.png,1
D003_c_0004780_patch_3_2.png,1
D003_c_0004781_patch_2_1.png,3
D003_c_0004782_patch_2_2.png,1
D003_c_0004783_patch_2_2.png,1
D003_c_0004784_patch_2_2.png,1
D003_c_0004785_patch_2_2.png,1
D003_c_0004787_patch_2_1.png,1
D003_c_0004788_patch_2_2.png,1
D003_c_0004789_patch_2_1.png,1
D003_c_0004790_patch_1_1.png,1
D003_c_0004791_patch_2_2.png,1
D003_c_0004792_patch_1_2.png,1
D003_c_0004793_patch_1_1.png,1
D003_c_0004794_patch_1_1.png,1
D003_c_0004795_patch_1_1.png,3
D003_c_0004796_patch_2_2.png,1
D003_c_0004798_patch_2_2.png,1
D003_c_0004799_patch_0_1.png,1
D003_c_0004800_patch_2_1.png,1
D003_c_0004801_patch_2_1.png,1
D003_c_0004803_patch_1_1.png,1
D003_c_0004804_patch_1_2.png,1
D003_c_0004806_patch_2_2.png,1
D003_c_0004807_patch_1_1.png,1
D003_c_0004809_patch_2_1.png,1
D003_c_0004810_patch_2_2.png,1
D003_c_0004811_patch_2_1.png,1
D003_c_0004814_patch_1_1.png,1
D003_c_0004816_patch_1_1.png,3
D003_c_0004819_patch_2_2.png,3
D003_c_0004824_patch_2_2.png,4
D003_c_0004825_patch_1_2.png,1
D003_c_0004827_patch_1_3.png,1
D003_c_0004833_patch_2_2.png,1
D003_c_0004835_patch_2_1.png,1
D003_c_0004839_patch_2_2.png,3
D003_c_0004840_patch_1_2.png,1
D003_c_0004841_patch_2_1.png,3
D003_c_0004842_patch_2_1.png,3
D003_c_0004843_patch_2_2.png,1
D003_c_0004848_patch_1_3.png,1
D003_c_0004850_patch_1_1.png,1
D003_c_0004854_patch_1_1.png,1
D003_c_0004856_patch_1_1.png,1
D003_c_0004858_patch_1_1.png,1
D003_c_0004859_patch_1_1.png,1
D003_c_0004861_patch_3_2.png,3
D003_c_0004863_patch_1_1.png,1
D003_c_0004867_patch_2_1.png,1
D003_c_0004868_patch_1_1.png,1
D003_c_0004869_patch_2_1.png,1
D003_c_0004873_patch_1_2.png,1
D003_c_0004877_patch_1_1.png,1
